Name,Address,Rating [1-5],Price Level [1-4]
Ambar Restaurant,"60 Clinton St, Sleepy Hollow, NY 10591",4.6,1
Zapata,"779 NY-340, Palisades, NY 10964",4.3,2
Tilly's Table,"100 NY-312, Brewster, NY 10509",4.5,N/A
Bangkok Spice,"1161 E Main St, Shrub Oak, NY 10588",4.4,2
Napoli's Pizza Restaurant,"1012 E Main St, Mohegan Lake, NY 10547",4.6,N/A
La Bussola Restaurant,"40 School St, Glen Cove, NY 11542",4.6,3
La Vicharra Peruvian Restaurant,"72 School St, Glen Cove, NY 11542",4.4,N/A
La Ginestra,"50 Forest Ave, Glen Cove, NY 11542",4.6,N/A
"Fish N' Ting Restaurant, Bar & Lounge","4063 Boston Rd, Bronx, NY 10466",4.2,2
Fino,"1 Baltic Pl, Croton-On-Hudson, NY 10520",4.5,2
Himalaya Restaurant,"34 Triangle Center, Yorktown Heights, NY 10598",4.6,2
Gavi Restaurant,"15 Old Rte 22, Armonk, NY 10504",4.5,2
Chatterbox Pleasantville,"75 Cooley St, Pleasantville, NY 10570",4.2,N/A
