Name,Address,Rating [1-5],Price Level [1-4],Latitude,Longitude
La Esquina Del Sabor Restaurant,"62 Carteret Ave, Carteret, NJ 07008",4,N/A,40.575157,-74.2237284
Rancho Restaurant,"163 New Brunswick Ave, Perth Amboy, NJ 08861",4.3,1,40.5102778,-74.2686111
El Patio Bar & Restaurant,"417 Fayette St, Perth Amboy, NJ 08861",3.9,N/A,40.5139128,-74.2803934
LB Mom's Restaurant,"379 Market St, Perth Amboy, NJ 08861",4.2,N/A,40.50999669999999,-74.2798962
El gran valle Restaurant,"El Gran Valle Restaurant, 323 State St, Perth Amboy, NJ 08861",4.3,1,40.5094857,-74.267472
Bello's Family Restaurant,"1 Roosevelt Blvd, Parlin, NJ 08859",4.4,1,40.468754,-74.3058581
Cafe Luna,"31 Page Ave, Staten Island, NY 10309",4.3,2,40.523651,-74.23443499999999
The Latin Grill Restaurant,"586 Amboy Ave, Perth Amboy, NJ 08861",4.1,2,40.5201812,-74.27575209999999
Zio Toto Restaurant and Bar,"86 Page Ave, Staten Island, NY 10309",4.4,2,40.5221056,-74.2355278
Deluca's Italian Restaurant,"7324 Amboy Rd, Staten Island, NY 10307",4.5,2,40.511,-74.24139679999999
Twenty Nine Forty Five Restaurant,"2945 Arthur Kill Rd, Staten Island, NY 10309",5,N/A,40.5469651,-74.2294275
The Armory NJ,"200 Front St, Perth Amboy, NJ 08861",4.3,2,40.5033803,-74.26344190000002
El Clasico Restaurant,"233 New Brunswick Ave, Perth Amboy, NJ 08861",4.4,N/A,40.5124538,-74.2714402
Il Castello's,"81 Main St, Woodbridge Township, NJ 07095",4.5,2,40.5541676,-74.27945580000001
Seasons 52,"217 Lafayette Ave, Edison, NJ 08837",4.5,2,40.5459057,-74.3325691
La Petite Corniche,"3972 Hylan Blvd, Staten Island, NY 10308",4.8,N/A,40.5425821,-74.14535149999999
Meson Tropical,"23 E Elizabeth Ave, Linden, NJ 07036",4,1,40.6313889,-74.2519444
GRILL NUNOS BBQ RESTAURANT,"300 Roselle St, Linden, NJ 07036",4,2,40.6367719,-74.24856609999999
P'chacho's Restaurant,"1727 Richmond Rd, Staten Island, NY 10306",4.4,1,40.5881315,-74.1032324
The Manor,"917 Manor Rd, Staten Island, NY 10314",4.5,2,40.6043895,-74.1206009
Campino Restaurant,"70 Jabez St, Newark, NJ 07105",4.5,2,40.7203621,-74.1526913
Casserole Restaurant,"124 Locust St, Roselle, NJ 07203",4.5,N/A,40.6588697,-74.26655989999999
Don Felix Bar & Restaurant,"559 Elizabeth Ave, Elizabeth, NJ 07206",4.3,2,40.655913,-74.199409
Restaurant,"Morrison Ave, Bronx, NY 10472",5,N/A,40.8294673,-73.87448959999999
La Palma Restaurant,"902 Morris Park Ave, Bronx, NY 10462",4,N/A,40.8466188,-73.8591216
Maria Restaurant,"11 Huguenot St, New Rochelle, NY 10801",4.6,2,40.914263,-73.77372559999999
Veranda,"20801 Northern Blvd, Queens, NY 11361",4.3,2,40.7590444,-73.77538609999999
Papazzio Restaurant & Caterer,"39-38 Bell Blvd, Bayside, NY 11361",4.4,2,40.7642933,-73.7715286
La Reina Restaurant,"3035 Cross Bronx Expy, Bronx, NY 10465",4.2,N/A,40.8227397,-73.818679
El valle.com restaurant,"549 Commonwealth Ave, Bronx, NY 10473",4,N/A,40.8164493,-73.8649105
El Nuevo Jobo,"3915 Broadway, New York, NY 10032",3.7,2,40.8383333,-73.9422222
Randall Restaurant,"1328 Randall Ave, Bronx, NY 10474",4.3,1,40.8122792,-73.8844409
Market Place Restaurant Cocktail,"355 Food Center Dr, Bronx, NY 10474",4.6,N/A,40.8062387,-73.87474350000001
El Tunnel Restaurant & Tapas Bar,"2026 Webster Ave, Bronx, NY 10457",4.6,2,40.850713,-73.89892979999999
Ulua Sisters Restaurant,"1544 E 174th St, Bronx, NY 10472",4.4,1,40.8341781,-73.8789634
LA 15 BAR RESTAURANT,"15-11 College Point Blvd, Queens, NY 11356",4.5,N/A,40.7837841,-73.84569139999999
Florinda Restaurant,"656 Prospect Ave, Bronx, NY 10455",5,N/A,40.8156442,-73.903042
Antojitos del Mangu Restaurant,"3531 3rd Ave., Bronx, NY 10456",4.6,N/A,40.8315289,-73.9059223
Los Primos Restaurant,"698 Allerton Ave, Bronx, NY 10467",3.7,1,40.8652837,-73.8675925
Bani Restaurant,"1056 Bronx River Ave, Bronx, NY 10472",4,2,40.8250751,-73.8828855
Buon Gusto Restaurant,"534 Durie Ave, Closter, NJ 07624",4.6,2,40.9723744,-73.9619249
Sevan Restaurant & Catering,"216-07 Horace Harding Expy, Oakland Gardens, NY 11364",4.6,2,40.7480333,-73.76128059999999
PJ's,"85 US-6, Baldwin Place, NY 10505",4.4,1,41.3444268,-73.7590395
El Pueblo Restaurant & Grill,"17 Main St, Mt Kisco, NY 10549",3.4,N/A,41.2087093,-73.7282255
Napoli's Pizza Restaurant,"1012 E Main St, Mohegan Lake, NY 10547",4.6,N/A,41.3201618,-73.8565528
The Mahopac Inn,"927 S Lake Blvd, Mahopac, NY 10541",4.2,2,41.3725856,-73.7360858
Applebee's Grill + Bar,"3127 E Main St, Mohegan Lake, NY 10547",4,2,41.3114795,-73.8697442
Barnwood Grill,"2 Old Tomahawk St, Yorktown Heights, NY 10598",4.5,2,41.3156594,-73.7483963
Monarca Restaurant & Bar,"37 S Moger Ave, Mt Kisco, NY 10549",4.8,N/A,41.2070808,-73.7284393
Le Fontane,"137 Somerstown Turnpike, Katonah, NY 10536",4.5,2,41.2832443,-73.7089259
Char Steakhouse and Bar,"151 Bryant Pond Rd Suite 1, Mahopac, NY 10541",4.4,2,41.3735331,-73.79954529999999
Trattoria Sei,"597 US-6, Mahopac, NY 10541",4.7,N/A,41.3713645,-73.7361602
GO TO GREEK,"3025 E Main St, Cortlandt, NY 10567",4.4,N/A,41.3077309,-73.8753066
Coral Seafood Restaurant,"63 US-6, Baldwin Place, NY 10598",4.4,N/A,41.3427521,-73.7627862
Savor Restaurant and Bar,"18 Clark Pl, Mahopac, NY 10541",4.3,2,41.3711686,-73.73879869999999
Lake House Restaurant and Bar,"825 S Lake Blvd, Mahopac, NY 10541",4.1,N/A,41.3729017,-73.7426996
Farmhouse Tavern,"128 Bedford Rd, Katonah, NY 10536",4.5,2,41.2518096,-73.6833116
The Tasty Table Too,"201 Veterans Rd, Yorktown Heights, NY 10598",0,N/A,41.2766785,-73.77655969999999
Countryside Kitchen,"493 US-6, Mahopac, NY 10541",4.7,2,41.365845,-73.741175
Little Sorrento,"3565 Crompond Rd, Cortlandt, NY 10567",4.5,2,41.2895329,-73.8385261
Nadine's,"715 Saw Mill River Rd, Yorktown Heights, NY 10598",4.6,2,41.2331927,-73.7828006
Primavera,"592 NY-22, Croton Falls, NY 10519",4.3,3,41.3429207,-73.6579766
Sunset,"49 Mamaroneck Ave, White Plains, NY 10601",4.8,N/A,41.0309566,-73.76575840000001
La Concha | Mexican Restaurant,"2 W Main St, Elmsford, NY 10523",4.1,2,41.0548168,-73.8201213
Archie Grand,"166B Mamaroneck Ave, White Plains, NY 10601",4.4,N/A,41.0285827,-73.765366
Nova Kitchen Restaurant and Bar,"580 NY-303 #7, Blauvelt, NY 10913",4.7,N/A,41.0625525,-73.9500345
Roost,"2 Union St, Sparkill, NY 10976",4.6,3,41.0298779,-73.9278309
Pete's Saloon & Restaurant,"8 W Main St, Elmsford, NY 10523",4.4,2,41.0548668,-73.8202874
Buon Amici Italian Restaurant,"238 Central Ave, White Plains, NY 10606",4.5,2,41.0358495,-73.78134039999999
Rini's Restaurant & Wine Bar,"12 W Main St, Elmsford, NY 10523",4.3,2,41.0548248,-73.8206558
Bellas Restaurant,"5 US-9, Tarrytown, NY 10591",4.4,N/A,41.0761078,-73.8584992
Sabor Restaurant,"186 Cortlandt St, Sleepy Hollow, NY 10591",4.4,N/A,41.0837106,-73.86266049999999
Del' Arte Restaurant,"20 Mountain View Ave, Orangeburg, NY 10962",4.6,2,41.0503722,-73.94802220000001
Mamaroneck Diner & Pizza Restaurant,"405 E Boston Post Rd, Mamaroneck, NY 10543",4.2,2,40.9499927,-73.7303285
Chazz Palminteri Italian Restaurant White Plains,"264 Main St, White Plains, NY 10601",4.4,2,41.0334256,-73.76380580000001
Dimora,"100 Piermont Rd, Norwood, NJ 07648",4.6,3,40.9845375,-73.9374342
Locale Restaurant,"208 Piermont Rd, Closter, NJ 07624",4.2,3,40.976244,-73.9453918
Oscar's Restaurant,"589 NY-303, Blauvelt, NY 10913",4.5,2,41.0658693,-73.949107
Valentina's Ristorante,"546 Gramatan Ave, Mt Vernon, NY 10552",4.6,N/A,40.9255517,-73.8361886
Zuppa,"59 Main St, Yonkers, NY 10701",4.7,3,40.9347727,-73.9010076
